"","speccode","english_name","scientific_name","taxonomic_rank","P.1","P.2","P.3","lat_mean.P.1","distrib.core","scientific_name_ET","PassNonPass","IOCOrder","Taxo","english_name_ET","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","migrate.strategy.3","migrate.strategy.4","migrate.distance"
"71",262,"Razorbill","Alca torda","Species",281,297,234,56.2272152140298,"north","Alca torda","Nonpasseriformes","Charadriiformes","BL3","Razorbill",20,0,0,80,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,725.99,"Dunning08",1,"","","strict_mig","variable",771.258160571112
"72",264,"Black Guillemot","Cepphus grylle","Species",368,429,360,57.5715482008774,"north","Cepphus grylle","Nonpasseriformes","Charadriiformes","BL3","Black Guillemot",40,0,0,60,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,378,"Dunning08",1,"","","strict_mig","variable",1279.8241568393
"73",266,"Puffin","Fratercula arctica","Species",208,186,153,57.2713165463854,"north","Fratercula arctica","Nonpasseriformes","Charadriiformes","BL3","Atlantic Puffin",20,0,0,80,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,593.01,"Dunning08",1,"","","strict_mig","variable",1435.17583243897
"74",268,"Rock Dove","Columba livia","Species",1499,2086,2222,54.410992094944,"north","Columba livia","Nonpasseriformes","Columbiformes","BL3","Rock Pigeon",10,0,0,0,0,0,0,0,60,30,"PlantSeed","Ref_4","A","Carolina",0,0,80,20,0,0,0,0,"Ref_4",1,"Jessica",0,354.2,"Dunning08",1,"","","resident","resident",0
"75",269,"Stock Dove","Columba oenas","Species",1956,1821,1917,53.1285049909977,"south","Columba oenas","Nonpasseriformes","Columbiformes","BL3","Stock Dove",20,0,0,0,0,0,0,0,40,40,"PlantSeed","Ref_4","A","Carolina",0,0,80,20,0,0,0,0,"Ref_4",1,"Jessica",0,290.79,"Dunning08",1,"","","partial_mig","variable",1502.7849239263
"76",270,"Woodpigeon","Columba palumbus","Species",2573,2510,2578,53.8778384094671,"south","Columba palumbus","Nonpasseriformes","Columbiformes","BL3","Common Wood-pigeon",0,0,0,0,0,0,30,0,30,40,"PlantSeed","Ref_4","A","Carolina",0,0,80,20,0,0,0,0,"Ref_4",1,"Jessica",0,490,"Dunning08",1,"","","partial_mig","variable",1629.01225881498
"77",271,"Collared Dove","Streptopelia decaocto","Species",2072,2210,2384,53.6581211722438,"south","Streptopelia decaocto","Nonpasseriformes","Columbiformes","BL3","Eurasian Collared-dove",10,0,0,0,0,0,30,0,40,20,"PlantSeed","Ref_4","A","Carolina",0,0,80,10,10,0,0,0,"Ref_4",1,"Jessica",0,148.96,"Dunning08",1,"","","resident","resident",0
"78",272,"Turtle Dove","Streptopelia turtur","Species",1252,940,617,52.3661845081485,"south","Streptopelia turtur","Nonpasseriformes","Columbiformes","BL3","European Turtle-dove",10,0,0,0,0,0,40,0,50,0,"Omnivore","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,132,"Dunning08",1,"","","strict_mig","long",3490.43478450897
"79",276,"Cuckoo","Cuculus canorus","Species",2548,2418,2363,53.9014058172276,"south","Cuculus canorus","Nonpasseriformes","Cuculiformes","BL3","Common Cuckoo",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,20,20,40,20,0,0,"Ref_4",1,"Jessica",0,111.36,"Dunning08",1,"","","strict_mig","long",6012.96002820803
"80",279,"Barn Owl","Tyto alba","Species",1777,1110,1892,53.069930629476,"south","Tyto alba","Nonpasseriformes","Strigiformes","BL3","Barn Owl",10,80,10,0,0,0,0,0,0,0,"VertFishScav","Ref_5","A","Hamish",0,0,90,10,0,0,0,0,"Ref_5",1,"Christian",1,403.32,"Dunning08",1,"","","resident","resident",0
"81",284,"Little Owl","Athene noctua","Species",1381,1228,1238,52.3965676882637,"south","Athene noctua","Nonpasseriformes","Strigiformes","BL3","Little Owl",70,20,10,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,80,10,10,0,0,0,"Ref_5",1,"Christian",1,168.92,"Dunning08",1,"","","resident","resident",0
"82",285,"Tawny Owl","Strix aluco","Species",2305,2054,2183,53.6795084367953,"south","Strix aluco","Nonpasseriformes","Strigiformes","BL3","Tawny Owl",10,80,10,0,0,0,0,0,0,0,"VertFishScav","Ref_5","A","Hamish",0,10,70,10,10,0,0,0,"Ref_5",1,"Christian",1,472.46,"Dunning08",1,"","","resident","resident",0
"83",286,"Long-eared Owl","Asio otus","Species",590,445,490,54.3830747891859,"north","Asio otus","Nonpasseriformes","Strigiformes","BL3","Long-eared Owl",0,100,0,0,0,0,0,0,0,0,"VertFishScav","Ref_5","A","Hamish",0,0,80,10,10,0,0,0,"Ref_5",1,"Christian",1,296.57,"Dunning08",1,"","","partial_mig","short",1437.65886718327
"84",287,"Short-eared Owl","Asio flammeus","Species",801,679,414,55.5483182158567,"north","Asio flammeus","Nonpasseriformes","Strigiformes","BL3","Short-eared Owl",0,100,0,0,0,0,0,0,0,0,"VertFishScav","Ref_5","A","Hamish",0,0,90,0,10,0,0,0,"Ref_5",1,"Christian",1,322.61,"Dunning08",1,"","","partial_mig","variable",2515.6424435681
"85",289,"Nightjar","Caprimulgus europaeus","Species",562,274,323,52.5204389170905,"south","Caprimulgus europaeus","Nonpasseriformes","Caprimulgiformes","BL3","Eurasian Nightjar",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,20,60,10,0,10,0,"Ref_5",1,"Christian",1,67,"Dunning08",1,"","","strict_mig","long",5511.39896985025
"86",295,"Swift","Apus apus","Species",2201,2215,2127,53.4594720475124,"south","Apus apus","Nonpasseriformes","Apodiformes","BL3","Common Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,0,0,100,0,"Ref_5",1,"Christian",0,37.6,"Dunning08",1,"","","strict_mig","long",6272.37771473677
"87",300,"Kingfisher","Alcedo atthis","Species",1305,1224,1334,52.523059777357,"south","Alcedo atthis","Nonpasseriformes","Coraciiformes","BL3","Common Kingfisher",30,0,0,70,0,0,0,0,0,0,"VertFishScav","Ref_6","A","Hamish",100,0,0,0,0,0,0,0,"Ref_6",1,"Christian",0,31.09,"Dunning08",1,"","","partial_mig","variable",2590.3476510634
"88",308,"Green Woodpecker","Picus viridis","Species",1623,1555,1639,52.6842347861581,"south","Picus viridis","Nonpasseriformes","Piciformes","BL3","Eurasian Green Woodpecker",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_7",1,"Jessica",0,176,"Dunning08",1,"","","resident","resident",0
"89",310,"Great Spotted Woodpecker","Dendrocopos major","Species",2050,1959,2334,53.5069087906758,"south","Dendrocopos major","Nonpasseriformes","Piciformes","BL3","Great Spotted Woodpecker",50,10,0,0,0,10,0,0,30,0,"Omnivore","Ref_7","A","Jennifer",0,0,0,20,40,30,10,0,"Ref_7",1,"Other",0,74.94,"Dunning08",1,"","","resident","resident",0
"90",311,"Lesser Spotted Woodpecker","Dryobates minor","Species",887,790,560,52.0478043279259,"south","Dendrocopos minor","Nonpasseriformes","Piciformes","BL3","Lesser Spotted Woodpecker",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,20,20,60,0,0,"Ref_7",1,"Jessica",0,19.8,"Dunning08",1,"","","resident","resident",0
"91",318,"Woodlark","Lullula arborea","Species",196,73,155,51.2520740494647,"south","Lullula arborea","Passeriformes","Passeriformes","BL3","Wood Lark",50,0,0,0,0,0,0,0,30,20,"Omnivore","Ref_9","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,26.9,"Dunning08",1,"","","partial_mig","short",1085.67447063599
"92",319,"Skylark","Alauda arvensis","Species",2778,2729,2748,54.183434136614,"south","Alauda arvensis","Passeriformes","Passeriformes","BL3","Eurasian Skylark",40,0,0,0,0,0,0,0,40,20,"PlantSeed","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,37.31,"Dunning08",1,"","","partial_mig","variable",1902.57997359261
"93",321,"Sand Martin","Riparia riparia","Species",2043,1559,1751,53.9888203802295,"south","Riparia riparia","Passeriformes","Passeriformes","BL3","Sand Martin",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,40,60,0,0,0,"Ref_9",1,"Jessica",0,12.68,"Dunning08",1,"","","strict_mig","long",5793.34431794164
"94",322,"Swallow","Hirundo rustica","Species",2600,2626,2685,53.9335182097991,"south","Hirundo rustica","Passeriformes","Passeriformes","BL3","Barn Swallow",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_9","A","Carolina",0,0,30,30,40,0,0,0,"Ref_9",1,"Jessica",0,17.91,"Dunning08",1,"","","strict_mig","long",5030.61575613198
"95",325,"House Martin","Delichon urbicum","Species",2425,2393,2500,53.724947485916,"south","Delichon urbicum","Passeriformes","Passeriformes","BL3","Northern House-martin",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,0,33,33,33,0,"Ref_9",1,"Jessica",0,14.5,"Dunning08",1,"","","strict_mig","long",5606.82640787142
"96",330,"Tree Pipit","Anthus trivialis","Species",1793,1524,1269,53.7946551955515,"south","Anthus trivialis","Passeriformes","Passeriformes","BL3","Tree Pipit",60,0,0,0,0,0,10,10,10,10,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_43",1,"Jessica",0,23.33,"Dunning08",1,"","","strict_mig","long",4868.56038226539
"97",332,"Meadow Pipit","Anthus pratensis","Species",2626,2539,2571,54.3312354699601,"north","Anthus pratensis","Passeriformes","Passeriformes","BL3","Meadow Pipit",80,0,0,0,0,0,0,0,20,0,"Invertebrate","Ref_9","A","Carolina",0,0,70,20,10,0,0,0,"Ref_31",1,"Walter; Christian",0,18.4,"Dunning08",1,"","","partial_mig","variable",1884.71833917055
"98",334,"Yellow Wagtail","Motacilla flava","Species",1155,1047,785,52.8376204730414,"south","Motacilla flava","Passeriformes","Passeriformes","BL3","Yellow Wagtail",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_43",1,"Jessica",0,17.68,"Dunning08",1,"","","partial_mig","long",5065.72775723902
"99",336,"Grey Wagtail","Motacilla cinerea","Species",1845,1979,2189,54.0936247715597,"south","Motacilla cinerea","Passeriformes","Passeriformes","BL3","Grey Wagtail",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_43",1,"Jessica",0,17.15,"Dunning08",1,"","","partial_mig","variable",3535.2198091858
"100",337,"Pied/White Wagtail","Motacilla alba","Species",2662,2669,2734,54.0456751177191,"south","Motacilla alba","Passeriformes","Passeriformes","BL3","White Wagtail",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_43",1,"Jessica",0,23.93,"Dunning08",1,"","","partial_mig","variable",3339.69149637682
"101",339,"Dipper","Cinclus cinclus","Species",1434,1309,1296,54.7703335157972,"north","Cinclus cinclus","Passeriformes","Passeriformes","BL3","White-throated Dipper",80,0,0,20,0,0,0,0,0,0,"Invertebrate","Ref_10","A","Carolina",40,40,20,0,0,0,0,0,"Ref_10",1,"Jessica",0,61.47,"Dunning08",1,"","","partial_mig","short",1419.89946571799
"102",340,"Wren","Troglodytes troglodytes","Species",2757,2747,2773,54.1539377660024,"south","Troglodytes troglodytes","Passeriformes","Passeriformes","BL3","Winter Wren",60,0,10,10,0,0,10,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,50,50,0,0,0,0,"Ref_10",1,"Walter; Jessica",0,9.74,"Dunning08",1,"","","partial_mig","short",1591.34696563524
"103",342,"Dunnock","Prunella modularis","Species",2601,2511,2619,53.8975150160883,"south","Prunella modularis","Passeriformes","Passeriformes","BL3","Hedge Accentor",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_10","A","Carolina",0,0,100,0,0,0,0,0,"Ref_10",1,"Jessica",0,20.24,"Dunning08",1,"","","partial_mig","variable",1626.21173562207
"104",345,"Robin","Erithacus rubecula","Species",2609,2629,2662,53.9129517362984,"south","Erithacus rubecula","Passeriformes","Passeriformes","BL3","European Robin",40,0,10,10,0,10,20,0,10,0,"Omnivore","Ref_10","A","Carolina",0,0,50,50,0,0,0,0,"Ref_11",1,"Jessica",0,17.7,"Dunning08",1,"","","partial_mig","variable",1672.89601538766
"105",347,"Nightingale","Luscinia megarhynchos","Species",639,457,366,51.8180627056445,"south","Luscinia megarhynchos","Passeriformes","Passeriformes","BL3","Common Nightingale",70,0,0,0,0,0,20,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,70,30,0,0,0,0,"Ref_11",1,"Jessica",0,19.6,"Dunning08",1,"","","strict_mig","long",4007.24586154043
"106",352,"Black Redstart","Phoenicurus ochruros","Species",68,103,131,51.7562081919019,"south","Phoenicurus ochruros","Passeriformes","Passeriformes","BL3","Black Redstart",60,0,0,0,0,0,30,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,60,40,0,0,0,0,"Ref_11",1,"Jessica",0,16.5,"Dunning08",1,"","","partial_mig","variable",2139.7312266833
"107",353,"Redstart","Phoenicurus phoenicurus","Species",1661,1327,1144,54.0259500963628,"south","Phoenicurus phoenicurus","Passeriformes","Passeriformes","BL3","Common Redstart",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_10","A","Carolina",0,0,20,40,40,0,0,0,"Ref_11",1,"Jessica",0,14.59,"Dunning08",1,"","","strict_mig","long",4397.28448736654
"108",354,"Whinchat","Saxicola rubetra","Species",1676,1404,880,54.5067086639565,"north","Saxicola rubetra","Passeriformes","Passeriformes","BL3","Whinchat",70,0,0,0,0,0,20,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,80,20,0,0,0,0,"Ref_11",1,"Jessica",0,16.6,"Dunning08",1,"","","strict_mig","long",4800.4119535713
"109",355,"Stonechat","Saxicola rubicola","Species",1217,1034,1870,54.475259738531,"north","Saxicola torquatus","Passeriformes","Passeriformes","BL3","Common Stonechat",70,0,0,0,10,0,10,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,100,0,0,0,0,0,"Ref_11",1,"Jessica",0,14.09,"Dunning08",1,"","","partial_mig","variable",3744.49989839114
"110",357,"Wheatear","Oenanthe oenanthe","Species",1864,1738,1611,55.0753460052474,"north","Oenanthe oenanthe","Passeriformes","Passeriformes","BL3","Northern Wheatear",70,0,0,0,0,0,20,0,10,0,"Invertebrate","Ref_10","A","Carolina",0,0,100,0,0,0,0,0,"Ref_11",1,"Jessica",0,25.39,"Dunning08",1,"","","strict_mig","long",5316.75422452175
"111",370,"Ring Ouzel","Turdus torquatus","Species",745,544,424,55.5231854407769,"north","Turdus torquatus","Passeriformes","Passeriformes","BL3","Ring Ouzel",30,0,10,0,0,0,30,0,30,0,"Omnivore","Ref_10","A","Carolina",0,0,20,40,40,0,0,0,"Ref_10",1,"Jessica",0,109,"Dunning08",1,"","","strict_mig","variable",1562.63716262769
"112",371,"Blackbird","Turdus merula","Species",2722,2664,2705,54.1160871502422,"south","Turdus merula","Passeriformes","Passeriformes","BL3","Eurasian Blackbird",50,0,0,0,10,0,20,0,20,0,"Omnivore","Ref_10","A","Jennifer",0,0,60,20,20,0,0,0,"Ref_10",1,"Jessica",0,102.73,"Dunning08",1,"","","partial_mig","variable",1831.53673068853
"113",376,"Song Thrush","Turdus philomelos","Species",2680,2620,2653,54.022825694355,"south","Turdus philomelos","Passeriformes","Passeriformes","BL3","Song Thrush",40,0,0,0,0,0,30,0,30,0,"Omnivore","Ref_10","A","Carolina",0,0,100,0,0,0,0,0,"Ref_10",1,"Jessica",0,67.74,"Dunning08",1,"","","partial_mig","variable",2216.65139803657
"114",377,"Redwing","Turdus iliacus","Species",111,136,75,57.4038845990246,"north","Turdus iliacus","Passeriformes","Passeriformes","BL3","Redwing",40,0,0,0,0,0,30,0,20,10,"Omnivore","Ref_10","A","Carolina",0,0,50,50,0,0,0,0,"Ref_10",1,"Jessica",0,61.2,"Dunning08",1,"","","strict_mig","long",2358.0755860049
"115",378,"Mistle Thrush","Turdus viscivorus","Species",2449,2397,2453,53.7471391772251,"south","Turdus viscivorus","Passeriformes","Passeriformes","BL3","Mistle Thrush",40,0,0,0,0,0,20,0,20,20,"Omnivore","Ref_10","A","Carolina",0,0,60,20,10,10,0,0,"Ref_10",1,"Other",0,117.37,"Dunning08",1,"","","partial_mig","variable",1984.39958086353
"116",384,"Grasshopper Warbler","Locustella naevia","Species",1882,1189,1663,53.2515130366748,"south","Locustella naevia","Passeriformes","Passeriformes","BL3","Common Grasshopper-warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","A","Jennifer",0,0,40,60,0,0,0,0,"Ref_11",1,"Jessica",0,13.3,"Dunning08",1,"","","strict_mig","long",3851.95653367753
"117",389,"Sedge Warbler","Acrocephalus schoenobaenus","Species",2069,1887,2138,53.7418141977484,"south","Acrocephalus schoenobaenus","Passeriformes","Passeriformes","BL3","Sedge Warbler",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_11","A","Jennifer",0,0,20,60,20,0,0,0,"Ref_11",1,"Jessica",0,11.83,"Dunning08",1,"","","strict_mig","long",5417.7011891341
"118",393,"Reed Warbler","Acrocephalus scirpaceus","Species",775,790,1087,52.1256419479026,"south","Acrocephalus scirpaceus","Passeriformes","Passeriformes","BL3","Eurasian Reed-warbler",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_11","A","Jennifer",0,0,20,80,0,0,0,0,"Ref_11",1,"Jessica",0,12.3,"Dunning08",1,"","","strict_mig","long",4222.12328959601
"119",409,"Lesser Whitethroat","Sylvia curruca","Species",1094,1271,1451,52.317148047258,"south","Sylvia curruca","Passeriformes","Passeriformes","BL3","Lesser Whitethroat",60,0,0,0,0,0,20,10,10,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,33,33,33,0,0,"Ref_11",1,"Jessica",0,11.44,"Dunning08",1,"","","strict_mig","long",3417.33207491531
"120",410,"Whitethroat","Sylvia communis","Species",2347,2186,2341,53.5710286791137,"south","Sylvia communis","Passeriformes","Passeriformes","BL3","Common Whitethroat",60,0,0,0,0,0,30,0,10,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,100,0,0,0,0,"Ref_11",1,"Jessica",0,15.1,"Dunning08",1,"","","strict_mig","long",4477.01363064048
"121",411,"Garden Warbler","Sylvia borin","Species",1833,1867,2061,53.0247687511688,"south","Sylvia borin","Passeriformes","Passeriformes","BL3","Garden Warbler",50,0,0,0,0,0,40,10,0,0,"Omnivore","Ref_11","A","Jennifer",0,0,0,60,20,20,0,0,"Ref_11",1,"Jessica",0,18.2,"Dunning08",1,"","","strict_mig","long",5756.656993476
"122",412,"Blackcap","Sylvia atricapilla","Species",1923,2048,2407,53.0279837463161,"south","Sylvia atricapilla","Passeriformes","Passeriformes","BL3","Blackcap",50,0,0,0,0,0,30,10,10,0,"Omnivore","Ref_11","A","Jennifer",0,0,0,0,100,0,0,0,"Ref_11",1,"Jessica",0,16.7,"Dunning08",1,"","","partial_mig","variable",2202.5091515955
"123",421,"Wood Warbler","Phylloscopus sibilatrix","Species",1230,1270,801,53.5949409398006,"south","Phylloscopus sibilatrix","Passeriformes","Passeriformes","BL3","Wood Warbler",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,50,0,50,0,0,"Ref_11",1,"Jessica",0,9.2,"Dunning08",1,"","","strict_mig","long",5163.4671976634
"124",422,"Chiffchaff","Phylloscopus collybita","Species",2003,2100,2396,53.1432881051872,"south","Phylloscopus collybita","Passeriformes","Passeriformes","BL3","Common Chiffchaff",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_11","A","Jennifer",0,0,25,25,25,25,0,0,"Ref_11",1,"Jessica",0,8.3,"Dunning08",1,"","","partial_mig","long",3646.74604138107
"125",423,"Willow Warbler","Phylloscopus trochilus","Species",2590,2602,2664,53.941050991532,"south","Phylloscopus trochilus","Passeriformes","Passeriformes","BL3","Willow Warbler",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,0,30,70,0,0,"Ref_11",1,"Jessica",0,8.7,"Dunning08",1,"","","strict_mig","long",6870.03323463227
"126",424,"Goldcrest","Regulus regulus","Species",2343,2327,2457,53.8144734712265,"south","Regulus regulus","Passeriformes","Passeriformes","BL3","Goldcrest",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_11",1,"Jessica",0,5.54,"Dunning08",1,"","","partial_mig","short",1468.61479827629
"127",426,"Spotted Flycatcher","Muscicapa striata","Species",2435,2378,2205,53.7890602638405,"south","Muscicapa striata","Passeriformes","Passeriformes","BL3","Spotted Flycatcher",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_11","A","Hamish",0,0,60,40,0,0,0,0,"Ref_11",1,"Jessica",0,15.9,"Dunning08",1,"","","strict_mig","long",6026.27062975451
"128",429,"Pied Flycatcher","Ficedula hypoleuca","Species",546,732,534,53.8190578072241,"south","Ficedula hypoleuca","Passeriformes","Passeriformes","BL3","European Pied Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","A","Hamish",0,0,0,33,33,33,0,0,"Ref_11",1,"Jessica",0,13.79,"Dunning08",1,"","","strict_mig","long",5286.26767557973
"129",431,"Long-tailed Tit","Aegithalos caudatus","Species",2194,2106,2243,53.5465213256746,"south","Aegithalos caudatus","Passeriformes","Passeriformes","BL3","Long-tailed Tit",60,0,0,0,0,0,10,10,10,10,"Invertebrate","Ref_13","A","Carolina",0,0,10,40,10,40,0,0,"Ref_38",1,"Jessica",0,8.6,"Dunning08",1,"","","resident","resident",0
"130",432,"Marsh Tit","Poecile palustris","Species",1366,1133,1069,52.3363596574831,"south","Parus palustris","Passeriformes","Passeriformes","BL3","Marsh Tit",50,0,0,0,0,0,20,0,20,10,"Omnivore","Ref_12","A","Jennifer",0,0,0,20,80,0,0,0,"Ref_12",1,"Jessica",0,11.14,"Dunning08",1,"","","resident","resident",0
"131",433,"Willow Tit","Poecile montanus","Species",1220,1100,558,52.6187055371228,"south","Parus montanus","Passeriformes","Passeriformes","BL3","Willow Tit",60,0,0,0,0,0,20,0,20,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,20,80,0,0,0,"Ref_12",1,"Jessica",0,11.1,"Dunning08",1,"","","resident","resident",0
"132",435,"Coal Tit","Periparus ater","Species",2392,2315,2462,53.8408511873666,"south","Parus ater","Passeriformes","Passeriformes","BL3","Coal Tit",40,0,0,0,0,10,0,10,20,20,"Omnivore","Ref_12","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_12",1,"Jessica",0,9.2,"Dunning08",1,"","","resident","resident",0
"133",436,"Blue Tit","Cyanistes caeruleus","Species",2518,2480,2554,53.7888198245317,"south","Parus caeruleus","Passeriformes","Passeriformes","BL3","Blue Tit",50,0,0,0,0,0,20,10,20,0,"Omnivore","Ref_12","A","Jennifer",0,0,10,30,30,30,0,0,"Ref_12",1,"Jessica",0,13.3,"PrimScale",1,"","","resident","resident",0
"134",437,"Great Tit","Parus major","Species",2457,2443,2548,53.736958368373,"south","Parus major","Passeriformes","Passeriformes","BL3","Great Tit",40,0,0,0,0,10,20,10,20,0,"Omnivore","Ref_12","A","Jennifer",0,0,0,20,60,20,0,0,"Ref_12",1,"Jessica",0,16.25,"Dunning08",1,"","","resident","resident",0
"135",438,"Nuthatch","Sitta europaea","Species",1174,1270,1588,52.1018551243706,"south","Sitta europaea","Passeriformes","Passeriformes","BL3","Wood Nuthatch",70,0,0,0,0,0,0,10,10,10,"Invertebrate","Ref_13","A","Carolina",0,0,33,33,33,0,0,0,"Ref_38",1,"Jessica",0,20.37,"Dunning08",1,"","","resident","resident",0
"136",440,"Treecreeper","Certhia familiaris","Species",2289,2120,2191,53.6898921125561,"south","Certhia familiaris","Passeriformes","Passeriformes","BL3","Eurasian Treecreeper",60,0,0,0,0,0,0,0,40,0,"Invertebrate","Ref_13","A","Carolina",0,0,40,30,30,0,0,0,"Ref_38",1,"Jessica",0,9,"Dunning08",1,"","","resident","resident",0
"137",449,"Jay","Garrulus glandarius","Species",1744,1713,1991,52.8094018510684,"south","Garrulus glandarius","Passeriformes","Passeriformes","BL3","Eurasian Jay",40,10,0,0,0,0,30,0,20,0,"Omnivore","Ref_14","A","Carolina",0,0,60,20,20,0,0,0,"Ref_30",1,"Other",0,159.46,"Dunning08",1,"","","resident","resident",0
"138",450,"Magpie","Pica pica","Species",1940,1958,2078,52.9864439419217,"south","Pica pica","Passeriformes","Passeriformes","BL3","Black-billed Magpie",20,20,20,0,0,20,10,0,10,0,"VertFishScav","Ref_14","A","Carolina",0,0,70,10,10,0,10,0,"Ref_30",1,"Other",0,217.48,"Dunning08",1,"","","resident","resident",0
"139",452,"Chough","Pyrrhocorax pyrrhocorax","Species",79,88,110,53.4425305840757,"south","Pyrrhocorax pyrrhocorax","Passeriformes","Passeriformes","BL3","Red-billed Chough",50,0,0,0,10,10,10,0,20,0,"Omnivore","Ref_14","A","Carolina",0,0,70,0,30,0,0,0,"Ref_30",1,"Christian",0,276.68,"Dunning08",1,"","","resident","resident",0
"140",453,"Jackdaw","Coloeus monedula","Species",2420,2344,2337,53.6775314750716,"south","Corvus monedula","Passeriformes","Passeriformes","BL3","Eurasian Jackdaw",30,10,0,0,0,0,30,0,30,0,"Omnivore","Ref_14","A","Carolina",0,0,50,20,20,10,0,0,"Ref_30",1,"Other",0,246,"Dunning08",1,"","","partial_mig","short",1852.93948905851
"141",454,"Rook","Corvus frugilegus","Species",2246,2237,2163,53.5695299509725,"south","Corvus frugilegus","Passeriformes","Passeriformes","BL3","Rook",30,10,10,0,0,10,0,0,40,0,"Omnivore","Ref_14","A","Carolina",0,0,90,10,0,0,0,0,"Ref_30",1,"Walter; Christian",0,452.1,"Dunning08",1,"","","partial_mig","variable",2019.80908376643
"142",455,"Carrion Crow","Corvus corone","Species",2285,2342,2417,53.4636714269023,"south","Corvus corone","Passeriformes","Passeriformes","BL3","Carrion Crow",30,20,20,0,0,20,0,0,10,0,"VertFishScav","Ref_14","A","Carolina",0,0,90,0,0,0,10,0,"Ref_30",1,"Walter; Christian",0,570,"Dunning08",1,"","","partial_mig","variable",2133.67126720447
"143",456,"Raven","Corvus corax","Species",1246,1131,1987,54.9975150353565,"north","Corvus corax","Passeriformes","Passeriformes","BL3","Common Raven",10,20,10,10,0,20,10,0,10,10,"VertFishScav","Ref_14","A","Carolina",0,0,80,0,10,0,10,0,"Ref_30",1,"Other",0,927.97,"Dunning08",1,"","","resident","resident",0
